epoch,train_loss,val_loss,w_hilbert
1,25.04611755657196,1.8555766977369785,0.00016666666666666666
2,1.1439934296607972,0.8948196973651648,0.0003333333333333333
3,0.930479037284851,1.0665838308632374,0.0005
4,0.9689685792922974,0.7832359485328197,0.0006666666666666666
5,1.0917710070610047,0.785773515701294,0.0008333333333333333
6,1.0282152013778687,0.8764783311635256,0.001
7,0.747004949092865,0.6853951774537563,0.0011666666666666668
8,0.7685742392539978,0.6662281807512045,0.0013333333333333333
9,0.7791408443450928,0.7042753659188747,0.0015
10,0.736798490524292,0.5939514450728893,0.0016666666666666666
11,0.7460585408210755,0.7805026452988386,0.0018333333333333333
12,0.7998325843811035,0.6164398863911629,0.002
13,1.1290951309204103,0.8663375936448574,0.002166666666666667
14,0.7736254053115845,0.592971445992589,0.0023333333333333335
15,0.6119219491481781,0.5703763347119093,0.0025
16,0.6717821555137634,0.6013403255492449,0.0026666666666666666
17,0.7950111536979675,0.6534831672906876,0.002833333333333333
18,0.8038190841674805,0.6684276033192873,0.003
19,0.6318105566501617,0.5365200527012348,0.0031666666666666666
20,0.7425350875854492,1.9628947619348764,0.003333333333333333
21,0.8158978688716888,0.5593516603112221,0.0034999999999999996
22,0.5886583201885224,0.6653092615306377,0.0036666666666666666
23,0.6404758234024048,0.5265764482319355,0.0038333333333333336
24,0.8896574923992157,1.6206109430640936,0.004
25,0.6959367022514343,0.5319874631240964,0.004166666666666667
26,0.6457474231719971,0.6075459979474545,0.004333333333333334
27,0.610608802318573,0.5919832782819867,0.0045000000000000005
28,0.5625525763034821,0.5520037962123752,0.004666666666666667
29,0.7399390125274659,0.5820571016520262,0.004833333333333334
30,0.6499156861305236,0.7074422463774681,0.005
31,0.5602090094089508,0.7838332261890173,0.0051666666666666675
32,0.7117201466560363,0.8793009091168642,0.005333333333333333
33,0.6586199061870575,0.6094790026545525,0.0055000000000000005
34,0.5755418574810028,0.5360346185043454,0.005666666666666666
35,0.620762116909027,0.5430595213547349,0.005833333333333334
36,0.573688378572464,0.5034101773053408,0.006
37,0.6348454511165619,0.550392092205584,0.0061666666666666675
38,0.6328831610679626,0.6454964876174927,0.006333333333333333
39,0.5739326367378235,0.5292280688881874,0.006500000000000001
40,0.5603354713916778,0.5041127782315016,0.006666666666666666
41,0.5930727133750916,0.5744771249592304,0.006833333333333334
42,0.5809415271282196,0.6041999068111181,0.006999999999999999
43,0.6597974104881287,0.551804848946631,0.007166666666666667
44,0.6388130764961243,0.5235475534573197,0.007333333333333333
45,0.5762775542736054,0.4836305510252714,0.0075
46,0.569331247329712,0.48004111647605896,0.007666666666666667
47,0.5547453382015228,0.46387954894453287,0.007833333333333333
48,0.5055326056480408,0.5915137408301234,0.008
49,0.6281021745204926,0.4937503570690751,0.008166666666666666
50,0.4959168086051941,0.4809383312240243,0.008333333333333333
51,0.5379149425029754,0.6242039492353797,0.0085
52,0.5241912794113159,0.45026495587080717,0.008666666666666668
53,0.5221509404182434,0.4543075365945697,0.008833333333333334
54,0.5187967238426209,0.5172450998798013,0.009000000000000001
55,0.4958527204990387,0.44109763391315937,0.009166666666666667
56,0.48397474455833434,0.5035359030589461,0.009333333333333334
57,0.5008978188037873,0.43230126798152924,0.0095
58,0.49479523849487306,0.43103373795747757,0.009666666666666667
59,0.4724494724273682,0.448934905230999,0.009833333333333333
60,0.6822443153858185,0.48114763014018536,0.01
61,0.5645619676113128,0.6223905645310879,0.01
62,0.49859221577644347,0.4352677948772907,0.01
63,0.4481029348373413,0.4104212708771229,0.01
64,0.42299446153640746,0.3924033800140023,0.01
65,0.427183807849884,0.3982535572722554,0.01
66,0.5763472852706909,0.5077460585162044,0.01
67,0.438102219581604,0.4405347453430295,0.01
68,0.46549541902542113,0.40409323386847973,0.01
69,0.5674023931026458,0.4742379616945982,0.01
70,0.4333753387928009,0.37363273091614246,0.01
71,0.42070405626296997,0.38557929173111916,0.01
72,0.4024034538269043,0.37005035392940044,0.01
73,0.4132323122024536,0.44934989511966705,0.01
74,0.5253183302879334,0.37865126971155405,0.01
75,0.4112363841533661,0.36366963759064674,0.01
76,0.3659436323642731,0.35868331138044596,0.01
77,0.3669844224452972,0.3147556418552995,0.01
78,0.49783551931381226,0.4011675240471959,0.01
79,0.38066398310661315,0.3092501489445567,0.01
80,0.3757397663593292,0.39027948770672083,0.01
81,0.3490096983909607,0.3176330514252186,0.01
82,0.3439189167022705,0.3092515445314348,0.01
83,0.3505060741901398,0.304767397698015,0.01
84,0.3596640648841858,0.3315773718059063,0.01
85,0.35500747728347776,0.2903054556809366,0.01
86,0.3127390925884247,0.3643369423225522,0.01
87,0.36461119961738586,0.28803723957389593,0.01
88,0.3190420398712158,0.2700370978564024,0.01
89,0.31392204904556276,0.31329622818157077,0.01
90,0.2804815731048584,0.2569690183736384,0.01
91,0.30344874775409697,0.25187533162534237,0.01
92,0.2758808879852295,0.24190969485789537,0.01
93,0.3244359575510025,0.2913961000740528,0.01
94,0.2910106852054596,0.2712639379315078,0.01
95,0.2784507564306259,0.25190289597958326,0.01
96,0.3358502277135849,0.2511640405282378,0.01
97,0.3079918339252472,0.3062197361141443,0.01
98,0.2616384575366974,0.2934535560198128,0.01
99,0.2639144843816757,0.21303849760442972,0.01
100,0.24726250553131104,0.22719695046544075,0.01
101,0.3697605916261673,0.29321603709831834,0.01
102,0.3812306637763977,0.21174214826896787,0.01
103,0.23053228795528413,0.25532961217686534,0.01
104,0.23289949905872345,0.20863432437181473,0.01
105,0.2342770313024521,0.21085474966093898,0.01
106,0.2262212071418762,0.21264811791479588,0.01
107,0.20780189871788024,0.21926894038915634,0.01
108,0.20735236251354217,0.1825793874450028,0.01
109,0.24205684757232665,0.3199826991185546,0.01
110,0.24547932028770447,0.214377258438617,0.01
111,0.22347863411903382,0.16090802755206823,0.01
112,0.3533696975708008,0.24031355464830995,0.01
113,0.22470467209815978,0.35012361966073513,0.01
114,0.2235370866060257,0.17896262044087052,0.01
115,0.18406601655483246,0.15553823206573725,0.01
116,0.20003780508041383,0.19750460470095277,0.01
117,0.18653294384479524,0.2096157455816865,0.01
118,0.1846005357503891,0.1640648301690817,0.01
119,0.17496215963363648,0.15409568580798805,0.01
120,0.2117968945503235,0.30320853320881724,0.01
121,0.23729708540439606,0.18562314240261912,0.01
122,0.17633298575878142,0.16286117397248745,0.01
123,0.1859917094707489,0.18432346219196916,0.01
124,0.20012369060516358,0.24342965753749013,0.01
125,0.18245790261030198,0.1859885265585035,0.01
126,0.1725875672698021,0.15476185199804604,0.01
127,0.16735700231790543,0.16339367954060435,0.01
128,0.1669937099814415,0.1598353253211826,0.01
129,0.1960849602818489,0.15155661338940263,0.01
130,0.17620037800073624,0.16620782669633627,0.01
131,0.1771329301595688,0.17903816187754273,0.01
132,0.16396051269769668,0.13141570147126913,0.01
133,0.1453475930094719,0.13385646766982973,0.01
134,0.14635320091247558,0.12786276056431234,0.01
135,0.1433912695646286,0.13572932523675263,0.01
136,0.15202882701158524,0.13824845990166068,0.01
137,0.16597167301177979,0.1838761572726071,0.01
138,0.18573647433519364,0.18606377812102437,0.01
139,0.15603118133544921,0.13088526879437268,0.01
140,0.15984737151861192,0.12178155174478889,0.01
141,0.12629433846473695,0.11195088061504066,0.01
142,0.12253550004959106,0.12367522227577865,0.01
143,0.13338402515649794,0.12062304583378136,0.01
144,0.13411228251457213,0.14100601733662188,0.01
145,0.1298668512701988,0.12180530675686896,0.01
146,0.14257421177625657,0.11016261042095721,0.01
147,0.13393003076314927,0.12106300937011838,0.01
148,0.13510800635814665,0.10766289313323796,0.01
149,0.12885296273231506,0.12131127016618848,0.01
150,0.16993213838338853,0.1285610208287835,0.01
151,0.12565403068065642,0.11047623911872506,0.01
152,0.12854257708787917,0.12985242204740644,0.01
153,0.12029979282617569,0.16233926289714873,0.01
154,0.11563669359683991,0.18781835376285017,0.01
155,0.12424951738119125,0.11179604614153504,0.01
156,0.10949386155605316,0.11529801739379764,0.01
157,0.11624301141500473,0.11058754846453667,0.01
158,0.11271696484088897,0.12019572639837861,0.01
159,0.10411366856098175,0.19474592455662787,0.01
160,0.1683176915049553,0.09363420982845128,0.01
161,0.10353406423330307,0.0977040040306747,0.01
162,0.11209220933914185,0.11357717704959214,0.01
163,0.10258017694950104,0.11960103339515626,0.01
164,0.10165834987163544,0.08644119172822684,0.01
165,0.09308384603261947,0.08302204788196832,0.01
166,0.09815596449375152,0.08208052930422127,0.01
167,0.09046005260944366,0.0819315992994234,0.01
168,0.08943672823905945,0.09326887817587703,0.01
169,0.08914197391271592,0.07684229046572,0.01
170,0.08405315059423446,0.0790198827162385,0.01
171,0.0942379033267498,0.07606903463602066,0.01
172,0.10102223038673401,0.07981563522480428,0.01
173,0.08466367763280869,0.07893045514356345,0.01
174,0.08238420671224594,0.07723730627913028,0.01
175,0.0880600705742836,0.10698640043847263,0.01
176,0.0921551874279976,0.07407933892682195,0.01
177,0.08002445948123932,0.07456551177892834,0.01
178,0.07875814545154572,0.08041207317728549,0.01
179,0.08010506635904312,0.07481375813949853,0.01
180,0.07587863111495971,0.0692541804164648,0.01
181,0.0769853542149067,0.07352407730650157,0.01
182,0.0841790277659893,0.065921611036174,0.01
183,0.07861808341741562,0.06506996473763138,0.01
184,0.06880888587236404,0.07182519300840795,0.01
185,0.07139437040686607,0.066555748693645,0.01
186,0.08052700307965278,0.0715317582944408,0.01
187,0.09376986891031265,0.06943160202354193,0.01
188,0.06950627130270004,0.07356282346881926,0.01
189,0.06546022057533264,0.06236555986106396,0.01
190,0.06559968489408494,0.06964956037700176,0.01
191,0.07481912797689438,0.07395460270345211,0.01
192,0.06669153389334678,0.07714572083204985,0.01
193,0.0636748620569706,0.08496857644058764,0.01
194,0.06450584176182747,0.05645684071350843,0.01
195,0.05930857139825821,0.05587176443077624,0.01
196,0.06043179324269295,0.063802165328525,0.01
197,0.057592179775238034,0.08463505969848484,0.01
198,0.06669538915157318,0.05763819196727127,0.01
199,0.059621007084846495,0.06348091992549598,0.01
200,0.061886398196220396,0.054022961761802435,0.01
201,0.057689401656389236,0.05595262360293418,0.01
202,0.056287607371807095,0.06055269209900871,0.01
203,0.05382244634628296,0.053632975032087415,0.01
204,0.08218960475921631,0.10509886976797134,0.01
205,0.060346597731113436,0.06931546854320914,0.01
206,0.05413456085324288,0.051235670573078096,0.01
207,0.051478923588991164,0.055939668614882976,0.01
208,0.0512200799882412,0.05717307090526447,0.01
209,0.05633852756023407,0.050245695863850415,0.01
210,0.05269761757552624,0.05967716849409044,0.01
211,0.05364934951066971,0.051163959375116974,0.01
212,0.04892479467391968,0.05474630533717573,0.01
213,0.048664099782705306,0.05295685131568462,0.01
214,0.04783406575024128,0.04820178949739784,0.01
215,0.047740945667028425,0.04665976611431688,0.01
216,0.04505763545632362,0.043806516216136515,0.01
217,0.04693544420599938,0.04763564985478297,0.01
218,0.04792250856757164,0.04611496417783201,0.01
219,0.04824886649847031,0.04965397599153221,0.01
220,0.04661215727031231,0.04476347810123116,0.01
221,0.04649997699260712,0.050043422263115644,0.01
222,0.04253525121510029,0.04714341199724004,0.01
223,0.04626614059507847,0.046470219269394875,0.01
224,0.04256916232407093,0.048509838117752224,0.01
225,0.04038065779209137,0.046120899089146405,0.01
226,0.04389565105736255,0.044223474396858364,0.01
227,0.044048881337046625,0.04425238189287484,0.01
228,0.041589027300477026,0.045237519836518914,0.01
229,0.03989877787232399,0.048282762756571174,0.01
230,0.04095211711525917,0.0498850354924798,0.01
231,0.044694885060191154,0.046334188838955015,0.01
232,0.04076410005986691,0.04883606400107965,0.01
233,0.03828124435245991,0.04730668512638658,0.01
234,0.03967033837735653,0.04365288920234889,0.01
235,0.038574814707040786,0.043890057888347656,0.01
236,0.040236024141311645,0.042904892354272306,0.01
237,0.03889764496684074,0.04456034314353019,0.01
238,0.037492810651659964,0.0440970158088021,0.01
239,0.036674477115273475,0.043988436402287334,0.01
240,0.037115798115730285,0.0492735494626686,0.01
241,0.03697540760040283,0.04393627884564921,0.01
242,0.03601981672644615,0.04509338649222627,0.01
243,0.03642157103121281,0.04435593535890803,0.01
244,0.0363050097823143,0.047715140506625175,0.01
245,0.034695484325289724,0.04280814132653177,0.01
246,0.03636774881184101,0.043222711130511016,0.01
247,0.03584513786435127,0.043010279710870236,0.01
248,0.03930451102554798,0.050330117577686906,0.01
249,0.03658554349839687,0.043977908324450254,0.01
250,0.03355812089145183,0.04537255456671119,0.01
251,0.03538033856451511,0.04003184963949025,0.01
252,0.03647574405372143,0.046981254825368524,0.01
253,0.03427180767059326,0.042293072503525764,0.01
254,0.03311237546801567,0.039830117602832615,0.01
255,0.03364005261659622,0.03945275378646329,0.01
256,0.03355788703262806,0.04360917105805129,0.01
257,0.03211342425644398,0.04176520032342523,0.01
258,0.032610734701156614,0.0440426284330897,0.01
259,0.031812819793820384,0.042487011407501996,0.01
260,0.03211701287329197,0.039266342879273,0.01
261,0.03140337617695332,0.04376617877278477,0.01
262,0.031322110682725904,0.04426100448472425,0.01
263,0.0313514352440834,0.04234653525054455,0.01
264,0.030219255462288857,0.04469044675352052,0.01
265,0.03099072477221489,0.04451563995098695,0.01
266,0.030647354125976564,0.04541040927870199,0.01
267,0.03309178902208805,0.044723258062731475,0.01
268,0.032382505550980566,0.04423340718494728,0.01
269,0.030372593358159065,0.04429793357849121,0.01
270,0.0305745500177145,0.04712020797887817,0.01
271,0.029963147342205048,0.040416251635178924,0.01
272,0.029883142113685607,0.04150025226408616,0.01
273,0.029866118907928466,0.0427867381949909,0.01
274,0.029800830006599426,0.043015395873226225,0.01
275,0.02926689575612545,0.04450942779658362,0.01
276,0.030090475499629975,0.04765318601857871,0.01
277,0.030182185620069503,0.04483260022243485,0.01
278,0.029575358480215072,0.04320208105491474,0.01
279,0.028645658254623414,0.04335434013046324,0.01
280,0.02973434929549694,0.04272497980855405,0.01
281,0.029247959151864053,0.04331676638685167,0.01
282,0.029138891980051995,0.0429491073009558,0.01
283,0.029109148487448694,0.04308349057100713,0.01
284,0.029305347591638563,0.04628730338299647,0.01
285,0.029443340599536894,0.042907292139716446,0.01
286,0.029368078052997588,0.04570466105360538,0.01
287,0.028861417829990386,0.042280259425751865,0.01
288,0.028883323192596434,0.044177818461321294,0.01
289,0.028861229419708253,0.04492430971004069,0.01
290,0.028482569694519042,0.04242976370733231,0.01
291,0.0281796927601099,0.04267772421007976,0.01
292,0.02890084794163704,0.044944628491066396,0.01
293,0.028866500347852708,0.0448342832387425,0.01
294,0.02831296320259571,0.04405049292836338,0.01
295,0.028534405127167702,0.043506722315214574,0.01
296,0.02820205906033516,0.04516480362508446,0.01
297,0.029329949513077738,0.04219292907509953,0.01
298,0.02874281071126461,0.04428012826247141,0.01
299,0.028362787902355194,0.04448597913142294,0.01
300,0.0281722477376461,0.04468627064488828,0.01
