number,value,datetime_start,datetime_complete,duration,params_alfa,params_batch_size,params_beta,params_lr,params_w_filter,params_weight_decay,params_wmag,state
0,0.07874162152173027,2026-03-26 03:15:54.320075,2026-03-26 03:20:03.603625,0 days 00:04:09.283550,0.045682575285413855,16,0.07211852049077472,0.00023688639503640813,0.1745734676972377,0.00036808608148776104,0.6410035105688879,COMPLETE
1,0.03237038155988095,2026-03-26 03:20:03.605629,2026-03-26 03:25:03.693977,0 days 00:05:00.088348,0.07951921766042713,16,0.07909274114591716,0.0005105903209394755,0.06780602616231217,1.1364672700011182e-06,0.5722807884690141,COMPLETE
2,0.05851978666725613,2026-03-26 03:25:03.694976,2026-03-26 03:30:27.348447,0 days 00:05:23.653471,0.1531388957385997,16,0.12891769768929678,0.0002703616066662003,0.1591834326646726,6.109683510122493e-06,0.2797064039425238,COMPLETE
3,0.07149031409062445,2026-03-26 03:30:27.349453,2026-03-26 03:33:42.223949,0 days 00:03:14.874496,0.2861990950584,32,0.04756393010602547,0.00032676417657817656,0.1934700862841663,3.971084710792477e-05,0.827557613304815,COMPLETE
4,0.08084404610452198,2026-03-26 03:33:42.223949,2026-03-26 03:38:54.989225,0 days 00:05:12.765276,0.03928490070110897,16,0.16369776573004297,0.00020165721691808595,0.1827708763949686,1.834907204905545e-06,0.3329019834400152,COMPLETE
5,0.06365182204172015,2026-03-26 03:38:54.990240,2026-03-26 03:42:07.906995,0 days 00:03:12.916755,0.23928586230750093,32,0.2917878494964308,0.0004597505784732166,0.18850479889719593,6.939031266619752e-06,0.905344615384884,COMPLETE
6,0.027488470659591258,2026-03-26 03:42:07.907995,2026-03-26 03:45:13.026877,0 days 00:03:05.118882,0.13494286821616014,32,0.11783918930608138,0.00039618677904065835,0.061556316037040225,0.00030768824743015387,0.8458637582367364,COMPLETE
7,0.258269133977592,2026-03-26 03:45:13.037440,2026-03-26 03:45:50.769531,0 days 00:00:37.732091,0.2964594728821397,64,0.05012867379353812,0.00022738055735631828,0.1567265061663649,5.731044951044765e-06,0.2788441133807552,PRUNED
8,0.07589573971927166,2026-03-26 03:45:50.769531,2026-03-26 03:47:38.190853,0 days 00:01:47.421322,0.1267857467069536,64,0.0499920559682044,0.00010127963257331491,0.032015121309774644,0.00015882027186184098,0.8767930832880342,PRUNED
9,0.26571715995669365,2026-03-26 03:47:38.190853,2026-03-26 03:48:14.099481,0 days 00:00:35.908628,0.20214051726590757,64,0.2269936681512773,0.00042004723167022017,0.17857042108950205,7.817787178411379e-06,0.5249934326457544,PRUNED
10,0.043519128288608044,2026-03-26 03:48:14.099481,2026-03-26 03:51:14.573398,0 days 00:03:00.473917,0.10775913942816469,32,0.12364974067978789,0.0008983925469760099,0.10511245176015757,7.237828575393247e-05,0.7573302056863084,COMPLETE
11,0.022715698395456587,2026-03-26 03:51:14.573398,2026-03-26 03:55:21.826489,0 days 00:04:07.253091,0.08507194840604994,16,0.10580545764472016,0.0007092519307403643,0.046647113711495096,1.2380249264062241e-06,0.49092064458076995,COMPLETE
12,0.008994420320959762,2026-03-26 03:55:21.826489,2026-03-26 03:58:10.454430,0 days 00:02:48.627941,0.17864750967574974,32,0.12038511651574271,0.00082211873378079,0.011358817288186433,2.4930669509902755e-05,0.46431917843529597,COMPLETE
13,0.006982649310625025,2026-03-26 03:58:10.454430,2026-03-26 04:02:17.307803,0 days 00:04:06.853373,0.18648806976847448,16,0.1994635952191064,0.0009969983911506546,0.010595068028909143,1.840862397440308e-05,0.40851935943968465,COMPLETE
14,0.009070759522728622,2026-03-26 04:02:17.307803,2026-03-26 04:05:04.267159,0 days 00:02:46.959356,0.19411244787639356,32,0.2083475026351687,0.000979488364880491,0.01683303926548858,1.8137096793029683e-05,0.41310904746609356,COMPLETE
15,0.03401866360079674,2026-03-26 04:05:04.267159,2026-03-26 04:09:09.543887,0 days 00:04:05.276728,0.191802530651202,16,0.1924252159761868,0.0006584846126433375,0.09740355748641227,2.1123011830239615e-05,0.13261391930790734,COMPLETE
16,0.006055431556887925,2026-03-26 04:09:09.543887,2026-03-26 04:11:55.217791,0 days 00:02:45.673904,0.23635154831752173,32,0.2527859285833711,0.0006703334248279728,0.010460803840631017,6.301956269628895e-05,0.10989027031939413,COMPLETE
17,0.031004432763438672,2026-03-26 04:11:55.217791,2026-03-26 04:14:44.628511,0 days 00:02:49.410720,0.24004773030601723,32,0.26320058784452766,0.0005990226579938115,0.09047125388292167,7.64392259735535e-05,0.11508646053406296,COMPLETE
18,0.14685623643417206,2026-03-26 04:14:44.628511,2026-03-26 04:15:44.533901,0 days 00:00:59.905390,0.2366505995442076,16,0.24276593017676187,0.00014784641131692543,0.12389651661613311,0.0001434106658269891,0.21215451261375928,PRUNED
19,0.016153921431396157,2026-03-26 04:15:44.533901,2026-03-26 04:17:58.971325,0 days 00:02:14.437424,0.25798684960371654,64,0.17412567269929335,0.0007381713755497724,0.03432745514824759,5.0858587186434925e-05,0.6646778439534706,COMPLETE
20,0.023607933287700965,2026-03-26 04:17:58.971325,2026-03-26 04:22:05.678948,0 days 00:04:06.707623,0.22018702367972495,16,0.29061277982738254,0.0005653782694204895,0.06885439660044157,1.2482273990591125e-05,0.3817040107545598,COMPLETE
21,0.008343157096533105,2026-03-26 04:22:05.678948,2026-03-26 04:24:52.353700,0 days 00:02:46.674752,0.16434595804337093,32,0.1673163326262869,0.0008530572084944279,0.011941585254857777,3.0500041586624067e-05,0.46086961388702447,COMPLETE
22,0.013872592273401096,2026-03-26 04:24:52.353700,2026-03-26 04:27:39.260278,0 days 00:02:46.906578,0.16562765066026672,32,0.1539886372920722,0.0009840042153148817,0.03036998685636426,3.584608803235235e-05,0.20874827855301986,COMPLETE
23,0.008424920204561204,2026-03-26 04:27:39.260278,2026-03-26 04:30:28.405757,0 days 00:02:49.145479,0.15462648845179555,32,0.2574421121946148,0.0007995366675894581,0.012580229791868847,0.00011923579188253702,0.9831817780824638,COMPLETE
24,0.01758959874860011,2026-03-26 04:30:28.405757,2026-03-26 04:33:15.539348,0 days 00:02:47.133591,0.2683481080757301,32,0.21733450514792618,0.0006732307112673672,0.04678610488343024,3.1249130615902458e-06,0.6112297359247848,COMPLETE
25,0.012162030179752037,2026-03-26 04:33:15.539348,2026-03-26 04:36:00.235195,0 days 00:02:44.695847,0.2143174139620129,32,0.19345600546811598,0.0008242969208066281,0.026713137978171986,1.0716681263401603e-05,0.3846583168870355,COMPLETE
26,0.019737571070436388,2026-03-26 04:36:00.235195,2026-03-26 04:38:49.063386,0 days 00:02:48.828191,0.17999637643934327,32,0.18204645452332943,0.0005344174774770631,0.047973070803536494,2.7717011719614905e-05,0.20328306113297373,COMPLETE
27,0.11128311231732368,2026-03-26 04:38:49.063386,2026-03-26 04:39:30.087596,0 days 00:00:41.024210,0.21451848711669172,32,0.15373306933621275,0.00034530002297279597,0.08128158524849792,5.6932886691220213e-05,0.7358869419839723,PRUNED
28,0.1788621386513114,2026-03-26 04:39:30.087596,2026-03-26 04:40:02.877897,0 days 00:00:32.790301,0.1420570358757638,64,0.2369845916620974,0.0006427734720022334,0.13203084843195656,1.3140999061275677e-05,0.43489443919627097,PRUNED
29,0.011289590407931616,2026-03-26 04:40:02.877897,2026-03-26 04:44:09.069958,0 days 00:04:06.192061,0.10450287663655342,16,0.20493564804168596,0.000982667343091027,0.02167101713056156,0.00030337637008954734,0.3263713361767406,COMPLETE
30,0.019696054004487536,2026-03-26 04:44:09.069958,2026-03-26 04:48:15.969722,0 days 00:04:06.899764,0.2622110306781489,16,0.2734151487511041,0.00047079806963585364,0.05561270154555274,8.183854448544016e-05,0.6575902602016627,COMPLETE
31,0.007870162313338369,2026-03-26 04:48:15.969722,2026-03-26 04:51:05.208124,0 days 00:02:49.238402,0.16281565221386174,32,0.25250869228755674,0.0007774494157481827,0.01199928211528589,0.00010358832086464646,0.9765312599811335,COMPLETE
32,0.01611890975618735,2026-03-26 04:51:05.208124,2026-03-26 04:53:54.017461,0 days 00:02:48.809337,0.1729714143105517,32,0.24855641890893113,0.0007565762735579514,0.03939597440946561,0.00021547431755247905,0.5686705730923856,COMPLETE
33,0.011521656619152054,2026-03-26 04:53:54.017461,2026-03-26 04:56:40.177378,0 days 00:02:46.159917,0.1146167563725459,32,0.2728958852116452,0.000867873759876697,0.021553536174386902,0.0004560853881405054,0.7242255763015151,COMPLETE
34,0.007820215207175352,2026-03-26 04:56:40.177378,2026-03-26 04:59:26.280284,0 days 00:02:46.102906,0.15621028917509175,32,0.22465137478884958,0.0005833582956772353,0.01136766561275016,0.00010455976041846084,0.5043036925877097,COMPLETE
35,0.042914826955114095,2026-03-26 04:59:26.280284,2026-03-26 05:00:36.846266,0 days 00:01:10.565982,0.06130147785789963,16,0.228174401955053,0.0005256531633838634,0.039007290660443915,0.00010733225184334953,0.5568267587002899,PRUNED
36,0.05835163395386189,2026-03-26 05:00:36.846266,2026-03-26 05:01:19.565272,0 days 00:00:42.719006,0.15474655190456377,32,0.21438592678739274,0.0002963015186902854,0.02433654193524428,5.280511404531956e-05,0.9748293281862124,PRUNED
37,0.07747635373380035,2026-03-26 05:01:19.567275,2026-03-26 05:02:01.315494,0 days 00:00:41.748219,0.14011395341414298,32,0.27089295227492693,0.0005946821770747832,0.059039507074027164,0.00019267079791992237,0.28688004135518264,PRUNED
38,0.07692193541498411,2026-03-26 05:02:01.315494,2026-03-26 05:03:01.228054,0 days 00:00:59.912560,0.19049131412721365,16,0.2492771056032676,0.0003797427217005743,0.0718498644620452,9.252078391576997e-05,0.8007494428431092,PRUNED
39,0.005919177376199514,2026-03-26 05:03:01.228054,2026-03-26 05:05:47.131412,0 days 00:02:45.903358,0.2283662112870022,32,0.2999168580492462,0.0007053908935402008,0.010215104235298781,4.846472490646443e-05,0.5149088475228906,COMPLETE
